Property,Project Name,Type of Property,Transaction Type,City,Area Name,Location,Price,Covered Area,Carpet Area,Carpet Area Unit,Bathroom,Floor No,Ownership Type,Possession Status,furnished Type,isPrimeLocationProperty,Gymnasium,Swimming Pool,Security,Club House,Developer,Maintenance Charges,Maintenance Type,Parking Lot Count,Has Covered Parking,Price per sqm
,Anunagar CHS Ltd,Residential House,Resale,Thane,Waghbil,,23000000,1350,1100,Sq-ft,3,,Freehold,Ready to Move,Semi-Furnished,1,1,1,1,1,,3,Monthly,1,1,17037.03704
3 BHK Flat,Devashree Park,Apartment,Resale,Thane,Kolshet Road,"Kolshet Road, Thane",13500000,1200,894,Sq-ft,3,7,Freehold,Ready to Move,Semi-Furnished,1,0,0,1,1,,3,Monthly,5,1,11250
3 BHK Flat,Tata Serein,Apartment,Resale,Thane,Pokharan Road Number 2,"Pokharan Road Number 2, Thane",27500000,1200,965,Sq-ft,3,25,Co-operative Society,Ready to Move,Unfurnished,0,1,1,1,1,TATA Housing Development Company Ltd.,3,Monthly,0,0,22916.66667
3 BHK Flat,,Apartment,Resale,Thane,Kolbad,"Kolbad, Thane",21000000,1200,930,Sq-ft,2,7,,Ready to Move,Semi-Furnished,1,0,0,1,0,,,,0,0,17500
2 BHK Flat,Everest World,Apartment,Resale,Thane,Kolshet,"Kolshet, Thane",10750000,1200,680,Sq-ft,2,2,Freehold,Ready to Move,Furnished,1,1,1,1,1,Terraform Realty,3000,Monthly,0,0,8958.333333
1 BHK Flat,Vasant Leela Apartment,Apartment,Resale,Thane,Waghbil,"Waghbil, Thane",5600000,575,500,Sq-ft,2,1,Freehold,Ready to Move,Furnished,1,1,1,1,1,Sheth Creators Pvt. Ltd.,1,Monthly,1,1,9739.130435
3 BHK Flat,,Apartment,Resale,Thane,Thane West,"Thane West, Thane",20000000,1121,1020,Sq-ft,2,4,Freehold,Ready to Move,Semi-Furnished,1,0,1,1,0,,,Monthly,1,0,17841.2132
2 BHK Flat,Lodha Casa Viva,Apartment,Resale,Thane,Majiwada,"Majiwada, Thane",12900000,678,670,Sq-ft,2,30,,Ready to Move,Unfurnished,1,1,1,1,1,Lodha,,Monthly,0,0,19026.54867
1 BHK Flat,,Builder Floor Apartment,Resale,Thane,Shivai Nagar,"Shivai Nagar, Thane",5850000,510,460,Sq-ft,1,2,Co-operative Society,Ready to Move,Unfurnished,1,1,1,1,1,,500,Monthly,0,0,11470.58824
2 BHK Flat,Krishnamrut CHS Ltd,Apartment,Resale,Thane,Thane West,"Thane West, Thane",14000000,1317,890,Sq-ft,2,3,Co-operative Society,Ready to Move,Semi-Furnished,1,1,1,1,1,,2,Monthly,0,0,10630.2202
2 BHK Flat,,Apartment,Resale,Thane,Thane West,"Thane West, Thane",17500000,1000,751,Sq-ft,2,8,Co-operative Society,Ready to Move,Unfurnished,1,0,0,1,1,,3000,Monthly,0,0,17500
3 BHK Flat,Neelkanth Height,Apartment,New Property,Thane,Thane West,"Thane West, Thane",20000000,1100,807,Sq-ft,2,18,,Ready to Move,Furnished,1,1,1,1,1,,3,Monthly,0,0,18181.81818
2 BHK Flat,Lodha Casa Viva,Apartment,Resale,Thane,Majiwada,"Majiwada, Thane",13000000,677,,,1,1,Power Of Attorney,Ready to Move,Unfurnished,1,1,1,1,1,Lodha,,,0,0,19202.36337
3 BHK Flat,Runwal Garden City,Apartment,Resale,Thane,Balkum Naka,"Balkum Naka, Thane",21000000,1675,1004,Sq-ft,2,27,Freehold,Ready to Move,Furnished,1,0,0,0,0,The Runwal Group,,Monthly,1,1,12537.31343
2 BHK Flat,27 GBR,Apartment,Resale,Thane,Thane West,"Thane West, Thane",9500000,850,668,Sq-ft,2,5,Freehold,Ready to Move,Semi-Furnished,1,1,1,1,1,Riddhi Siddhi Costructions,,,0,0,11176.47059
2 BHK Flat,,Apartment,Resale,Thane,Waghbil,"Waghbil, Thane",9000000,1350,900,Sq-ft,2,3,Co-operative Society,Ready to Move,Semi-Furnished,1,1,1,1,1,,4500,Monthly,1,0,6666.666667
1 BHK Flat,Vasant Fiona,Apartment,Resale,Thane,Thane West,"Thane West, Thane",8599000,612,438,Sq-ft,2,10,Co-operative Society,Ready to Move,Semi-Furnished,1,1,0,1,1,Sheth Creators Pvt. Ltd.,1,Monthly,0,0,14050.65359
3 BHK Flat,Vijay Enclave,Apartment,Resale,Thane,Waghbil,"Waghbil, Thane",13000000,1505,1100,Sq-ft,3,6,Freehold,Ready to Move,Unfurnished,1,1,1,1,1,Vijay Group,3000,Monthly,1,0,8637.873754
3 BHK Flat,Highland Park,Apartment,New Property,Thane,Kolshet Road,"Kolshet Road, Thane",15000000,1450,1320,Sq-ft,3,3,Freehold,Ready to Move,Semi-Furnished,1,1,1,1,1,Siddhi Group,4500,Monthly,0,0,10344.82759
3 BHK Flat,Godrej Emerald,Apartment,New Property,Thane,Bhayandarpada,"Bhayandarpada, Thane",13500000,1444,1105,Sq-ft,3,20,Freehold,Ready to Move,Unfurnished,1,1,1,1,1,Godrej Properties,4455,Monthly,0,0,9349.030471
3 BHK Flat,Cosmos Horizon,Apartment,New Property,Thane,Pokharan Road Number 2,"Pokharan Road Number 2, Thane",16000000,1500,1154,Sq-ft,3,21,Freehold,Under Construction,Unfurnished,1,1,1,1,1,Cosmos Group,0,Monthly,2,1,10666.66667
1 BHK Flat,Runwal Eirene,Apartment,Resale,Thane,Balkum village,"Balkum village, Thane",7899999,650,425,Sq-ft,2,8,Freehold,Ready to Move,Semi-Furnished,1,1,1,1,1,Runwal Developers,2500,Monthly,1,1,12153.84462
2 BHK Flat,Dosti Desire,Apartment,Resale,Thane,Patlipada,"Patlipada, Thane",10500000,518,518,Sq-ft,2,8,Freehold,Ready to Move,Furnished,1,1,1,1,1,Dosti Realty,0,Monthly,1,1,20270.27027
2 BHK Flat,Kalpataru Paramount,Apartment,New Property,Thane,Kapurbawdi,"Kapurbawdi, Thane",13000000,711,711,Sq-ft,2,2,Freehold,Under Construction,Unfurnished,1,1,1,1,1,Kalpataru Ltd.,5,Per sq. Unit Monthly,1,1,18284.10689
1 BHK Flat,,Apartment,Resale,Thane,Vartak Nagar,"Vartak Nagar, Thane",7200000,575,,,2,4,,Ready to Move,Semi-Furnished,0,0,0,0,0,,,,0,0,12521.73913
1 BHK Flat,Arihant Tower,Apartment,Resale,Thane,Ram Maruti Road Naupada,"Ram Maruti Road Naupada, Thane",10500000,630,480,Sq-ft,1,5,,Ready to Move,Semi-Furnished,0,0,0,0,0,,,,0,0,16666.66667
,,Residential House,Resale,Thane,Bhayandarpada,,2800000,365,270,Sq-ft,1,2,Co-operative Society,Ready to Move,Semi-Furnished,0,1,1,1,1,,,,0,0,7671.232877
1 BHK Flat,Lodha Paradise,Apartment,Resale,Thane,Majiwada,"Majiwada, Thane",7700000,600,,,2,7,,Ready to Move,Semi-Furnished,0,0,0,0,0,Lodha,,,0,0,12833.33333
3 BHK Flat,,Apartment,Resale,Thane,Hiranandani Estate,"Hiranandani Estate, Thane",20000000,1300,800,Sq-ft,3,9,,Ready to Move,Semi-Furnished,0,0,0,0,0,,,,0,0,15384.61538
1 BHK Flat,,Apartment,Resale,Thane,Vartak Nagar,"Vartak Nagar, Thane",5100000,357,,,1,,Co-operative Society,Ready to Move,Semi-Furnished,0,0,0,0,0,,,Monthly,0,0,14285.71429
2 BHK Flat,,Apartment,Resale,Thane,Pokharan Road Number 1,"Pokharan Road Number 1, Thane",9000000,1000,,,2,1,,Ready to Move,Unfurnished,0,0,0,0,0,,,,0,0,9000
1 BHK Flat,Crown Lodha Quality Homes,Apartment,Resale,Thane,Balkum Naka,"Balkum Naka, Thane",6500000,350,339,Sq-ft,1,6,,Ready to Move,Semi-Furnished,0,0,0,0,0,Lodha,,,0,0,18571.42857
1 BHK Flat,Rosa Elite,Apartment,Resale,Thane,Bhayandarpada,"Bhayandarpada, Thane",5000000,640,,,2,5,Co-operative Society,Ready to Move,Unfurnished,1,0,0,0,0,Rosa Group,,,0,0,7812.5
3 BHK Flat,,Apartment,Resale,Thane,Rabodi,"Rabodi, Thane",5000000,600,470,Sq-ft,1,2,Co-operative Society,Ready to Move,Semi-Furnished,1,0,0,0,0,,,,0,0,8333.333333
1 BHK Flat,Lokpuram Complex,Apartment,Resale,Thane,Lok Puram,"Lok Puram, Thane",6500000,600,496,Sq-ft,1,,,Ready to Move,Furnished,1,0,0,0,0,,,Monthly,0,0,10833.33333
3 BHK Flat,,Apartment,Resale,Thane,Waghbil,"Waghbil, Thane",21000000,2000,1800,Sq-ft,3,7,Co-operative Society,Ready to Move,Semi-Furnished,1,1,1,1,1,,,,0,0,10500
2 BHK Flat,,Apartment,Resale,Thane,Charai,"Charai, Thane",17500000,1000,850,Sq-ft,2,3,Co-operative Society,Ready to Move,Furnished,1,0,0,0,0,,,,0,0,17500
1 BHK Flat,,Apartment,Resale,Thane,Bhayandarpada,"Bhayandarpada, Thane",4800000,585,,,1,1,Freehold,Ready to Move,Semi-Furnished,1,1,1,1,1,,,,0,0,8205.128205
1 BHK Flat,,Apartment,Resale,Thane,Balkum Naka,"Balkum Naka, Thane",1400000,260,200,Sq-ft,1,3,,Ready to Move,Unfurnished,0,0,0,0,0,,,,0,0,5384.615385
1 BHK Flat,,Apartment,Resale,Thane,Thane West,"Thane West, Thane",11000000,640,450,Sq-ft,2,4,Co-operative Society,Ready to Move,Semi-Furnished,0,0,0,0,0,,,,0,0,17187.5
2 BHK Flat,Highland Haven,Apartment,Resale,Thane,Balkum village,"Balkum village, Thane",10000012,971,600,Sq-ft,2,14,,Ready to Move,Semi-Furnished,0,0,0,0,0,Siddhi Group,,,1,1,10298.67353
1 BHK Flat,,Apartment,Resale,Thane,Thane West,"Thane West, Thane",8000000,475,400,Sq-ft,2,9,,Ready to Move,Unfurnished,0,0,0,0,0,,,,0,0,16842.10526
3 BHK Flat,,Apartment,Resale,Thane,Thane West,"Thane West, Thane",20000000,1500,,,3,5,,Ready to Move,Semi-Furnished,0,0,0,0,0,,,,0,0,13333.33333
2 BHK Flat,Dosti Vijeta,Apartment,Resale,Thane,Vartak Nagar,"Vartak Nagar, Thane",12400000,860,,,2,29,,Ready to Move,Semi-Furnished,0,0,0,0,0,,,,0,0,14418.60465
2 BHK Flat,Mangalmurti Apartment,Apartment,Resale,Thane,Thane West,"Thane West, Thane",12500000,720,600,Sq-ft,2,2,,Ready to Move,Furnished,0,0,0,0,0,,,,0,0,17361.11111
1 BHK Flat,Kavya Hill View,Apartment,Resale,Thane,Anand Nagar Thane West,"Anand Nagar Thane West, Thane",4750000,640,,,1,7,Freehold,Ready to Move,Unfurnished,0,1,1,1,1,Kavya Buildcon Pvt. Ltd.,,,0,0,7421.875
3 BHK Flat,,Apartment,Resale,Thane,Teen Hath Naka,"Teen Hath Naka, Thane",19000000,1500,1050,Sq-ft,3,3,Freehold,Ready to Move,Unfurnished,0,0,0,0,0,,,Monthly,1,0,12666.66667
1 BHK Flat,,Apartment,Resale,Thane,Naupada,"Naupada, Thane",8000000,388,,,1,,,Ready to Move,Furnished,0,0,0,0,0,,,,0,0,20618.5567
3 BHK Flat,,Apartment,Resale,Thane,Vartak Nagar,"Vartak Nagar, Thane",18000000,1050,800,Sq-ft,3,4,,Ready to Move,Unfurnished,0,0,0,0,1,,,,0,0,17142.85714
2 BHK Flat,Lodha Amara,Apartment,Resale,Thane,Kolshet Road,"Kolshet Road, Thane",9000000,690,518,Sq-ft,2,22,,Ready to Move,Semi-Furnished,0,1,1,0,1,Lodha,,,0,0,13043.47826
4 BHK Flat,,Penthouse,New Property,Thane,Kolbad,"Kolbad, Thane",28000000,2100,1758,Sq-ft,4,10,,Ready to Move,Semi-Furnished,0,1,1,1,1,,,,0,0,13333.33333
1 BHK Flat,,Apartment,Resale,Thane,Kolbad,"Kolbad, Thane",3300000,410,410,Sq-ft,1,4,Co-operative Society,Ready to Move,Semi-Furnished,0,0,0,0,0,,,,0,0,8048.780488
2 BHK Flat,,Apartment,Resale,Thane,Naupada,"Naupada, Thane",13500000,1000,,,2,3,,Ready to Move,Unfurnished,0,0,0,0,0,,,,0,0,13500
2 BHK Flat,Shree Srushti,Apartment,Resale,Thane,Thane West,"Thane West, Thane",9000000,960,,,2,1,,Ready to Move,Semi-Furnished,0,0,0,0,0,Shree Group Of Companies,,,0,0,9375
1 BHK Flat,,Apartment,Resale,Thane,Lok Puram,"Lok Puram, Thane",11000000,424,,,1,18,,Ready to Move,Unfurnished,0,0,0,0,0,,,,0,0,25943.39623
1 BHK Flat,Siddhivinayak Tower,Apartment,Resale,Thane,Thane West,"Thane West, Thane",7500000,650,,,1,1,Co-operative Society,Ready to Move,Unfurnished,0,0,0,1,0,,,,0,0,11538.46154
2 BHK Flat,Anand Park,Apartment,Resale,Thane,Majiwada,"Majiwada, Thane",9200000,715,,,2,3,,Ready to Move,Semi-Furnished,1,0,0,0,0,,,,0,0,12867.13287
1 BHK Flat,,Apartment,Resale,Thane,Dhobi Ali,"Dhobi Ali, Thane",7000000,760,490,Sq-ft,2,2,Co-operative Society,Ready to Move,Unfurnished,1,0,0,0,0,,,,0,0,9210.526316
1 BHK Flat,,Apartment,Resale,Thane,Rabodi,"Rabodi, Thane",5500000,635,,,1,4,,Ready to Move,Semi-Furnished,1,0,0,0,0,,,,0,0,8661.417323
1 BHK Flat,,Apartment,Resale,Thane,Thane West,"Thane West, Thane",3500000,300,300,Sq-ft,1,1,,Ready to Move,Semi-Furnished,1,0,0,0,0,,,,0,0,11666.66667
1 BHK Flat,,Apartment,Resale,Thane,Waghbil,"Waghbil, Thane",6000000,600,,,1,10,,Ready to Move,Semi-Furnished,1,0,0,0,0,,,,0,0,10000
1 BHK Flat,Aakash Ganga Complex,Apartment,New Property,Thane,Thane West,"Thane West, Thane",7600000,618,575,Sq-ft,1,2,Co-operative Society,Ready to Move,Semi-Furnished,1,0,0,0,0,,,,0,0,12297.73463
1 BHK Flat,,Apartment,Resale,Thane,Wagle Industrial Estate,"Wagle Industrial Estate, Thane",1600000,325,325,Sq-ft,2,4,,Ready to Move,Unfurnished,1,0,0,0,0,,,,0,0,4923.076923
2 BHK Flat,,Apartment,Resale,Thane,Manpada,"Manpada, Thane",11500000,850,,,2,3,,Ready to Move,Semi-Furnished,1,0,0,0,0,,,,0,0,13529.41176
1 BHK Flat,,Apartment,Resale,Thane,Owale,"Owale, Thane",5000000,625,,,1,4,,,Unfurnished,1,0,0,0,0,,,,0,0,8000
2 BHK Flat,Akash Ganga CHS,Apartment,Resale,Thane,Thane West,"Thane West, Thane",11500000,800,650,Sq-ft,2,5,Freehold,Ready to Move,Unfurnished,0,0,0,1,0,,,,0,0,14375
1 BHK Flat,Vijay Nagari,Apartment,Resale,Thane,Waghbil,"Waghbil, Thane",6500000,505,,,2,1,,Ready to Move,Semi-Furnished,0,0,0,0,0,Vijay Group,,,0,0,12871.28713
1 BHK Flat,,Apartment,Resale,Thane,Thane West,"Thane West, Thane",7000000,610,,,1,5,,Ready to Move,Semi-Furnished,0,0,0,0,0,,,,0,0,11475.40984
2 BHK Flat,,Apartment,Resale,Thane,Vrindavan Society,"Vrindavan Society, Thane",11000000,770,,,3,1,,Ready to Move,Semi-Furnished,0,0,0,0,0,,,,0,0,14285.71429
1 BHK Flat,,Apartment,Resale,Thane,Dhokali,"Dhokali, Thane",6000000,545,,,1,,,Ready to Move,Unfurnished,0,0,0,0,0,,,,0,0,11009.17431
1 BHK Flat,,Apartment,Resale,Thane,Kolbad,"Kolbad, Thane",6500000,600,460,Sq-ft,1,4,Co-operative Society,Ready to Move,Semi-Furnished,0,0,0,1,0,,1100,Monthly,1,0,10833.33333
1 BHK Flat,,Apartment,Resale,Thane,Majiwada,"Majiwada, Thane",6000000,510,,,1,4,,Ready to Move,Unfurnished,0,0,0,0,0,,,,0,0,11764.70588
1 BHK Flat,,Apartment,Resale,Thane,Balkum Naka,"Balkum Naka, Thane",2500000,450,,,1,,,Ready to Move,Unfurnished,0,0,0,0,0,,,,0,0,5555.555556
3 BHK Flat,Acme ACME Ozone Eucalyptia,Apartment,Resale,Thane,Thane West,"Thane West, Thane",20000000,1500,1000,Sq-ft,3,15,,Ready to Move,Unfurnished,0,0,0,0,0,Acme Group,,,0,0,13333.33333
,Gagangiri Park,Residential House,Resale,Thane,Panch Pakhdi,,15000000,1650,1200,Sq-ft,2,1,Co-operative Society,Ready to Move,Semi-Furnished,0,1,1,1,1,Gagangiri Group,,,0,0,9090.909091
2 BHK Flat,,Apartment,Resale,Thane,Thane West,"Thane West, Thane",11000000,1100,600,Sq-ft,2,3,Freehold,Ready to Move,Unfurnished,0,0,0,1,0,,,Monthly,0,0,10000
2 BHK Flat,Runwal Garden City,Apartment,Resale,Thane,Balkum Naka,"Balkum Naka, Thane",9000000,770,542,Sq-ft,2,16,,Ready to Move,Unfurnished,0,0,0,0,0,The Runwal Group,,,0,0,11688.31169
1 BHK Flat,Parkwood,Apartment,Resale,Thane,Thane West,"Thane West, Thane",8000000,450,,,2,30,,Ready to Move,Unfurnished,0,0,0,0,0,,,,0,0,17777.77778
2 BHK Flat,Godrej Emerald,Apartment,Resale,Thane,Bhayandarpada,"Bhayandarpada, Thane",14500000,802,705,Sq-ft,2,26,,Ready to Move,Unfurnished,0,0,0,0,0,Godrej Properties,,,0,0,18079.8005
1 BHK Flat,,Builder Floor Apartment,Resale,Thane,Thane West,"Thane West, Thane",2800000,450,,,1,3,,Ready to Move,Unfurnished,0,0,0,0,0,,,,0,0,6222.222222
1 BHK Flat,,Apartment,Resale,Thane,Thane West,"Thane West, Thane",7200000,600,440,Sq-ft,2,2,,Ready to Move,Semi-Furnished,0,0,0,0,0,,,,0,0,12000
1 BHK Flat,,Builder Floor Apartment,Resale,Thane,Mahagiri Koliwada,"Mahagiri Koliwada, Thane",3900000,280,,,1,2,Co-operative Society,Ready to Move,Unfurnished,0,0,0,0,0,,,,0,0,13928.57143
1 BHK Flat,Valley Tower,Apartment,Resale,Thane,Manpada,"Manpada, Thane",7500000,570,,,1,3,,Ready to Move,Semi-Furnished,1,0,0,0,0,,,,0,0,13157.89474
2 BHK Flat,Laxmi Park,Apartment,Resale,Thane,Vartak Nagar,"Vartak Nagar, Thane",10000000,750,,,2,,,Ready to Move,Semi-Furnished,1,0,0,0,0,,,,0,0,13333.33333
1 BHK Flat,Lodha Amara,Apartment,Resale,Thane,Kolshet Road,"Kolshet Road, Thane",7500000,730,,,2,22,,Ready to Move,Semi-Furnished,1,0,0,0,0,Lodha,,,0,0,10273.9726
,,Residential House,Resale,Thane,Shivai Nagar,,5400000,450,400,Sq-ft,1,1,Co-operative Society,Ready to Move,Unfurnished,1,0,0,0,0,,,,0,0,12000
1 BHK Flat,,Builder Floor Apartment,Resale,Thane,Kolbad,"Kolbad, Thane",6500000,500,,,1,4,,Ready to Move,Semi-Furnished,1,0,0,0,0,,,,0,0,13000
1 BHK Flat,Lodha Amara,Apartment,Resale,Thane,Kolshet Road,"Kolshet Road, Thane",8000000,452,452,Sq-ft,2,23,,Ready to Move,Unfurnished,1,0,0,0,0,Lodha,,,1,1,17699.11504
1 BHK Flat,,Apartment,Resale,Thane,Lokmanya Nagar,"Lokmanya Nagar, Thane",2400000,220,180,Sq-ft,1,,,Ready to Move,Unfurnished,1,0,0,0,0,,,,0,0,10909.09091
2 BHK Flat,,Apartment,Resale,Thane,Pawar Nagar,"Pawar Nagar, Thane",8400000,700,,,2,2,Co-operative Society,Ready to Move,Unfurnished,1,1,1,1,1,,,,0,0,12000
,,Residential House,Resale,Thane,Vasant Vihar,,30000000,1600,1000,Sq-ft,2,2,,Ready to Move,Unfurnished,1,0,0,0,0,,13000,Yearly,0,0,18750
2 BHK Flat,Lodha Splendora,Apartment,Resale,Thane,Bhayandarpada,"Bhayandarpada, Thane",14000000,1200,743,Sq-ft,2,,,,Semi-Furnished,1,0,0,0,0,Lodha,,Monthly,0,0,11666.66667
1 BHK Flat,,Apartment,Resale,Thane,Owale,"Owale, Thane",6300000,472,431,Sq-ft,1,7,,Ready to Move,Unfurnished,0,0,0,0,0,,,,0,0,13347.45763
2 BHK Flat,,Apartment,Resale,Thane,Uthalsar,"Uthalsar, Thane",9000000,1100,898,Sq-ft,2,6,Co-operative Society,Ready to Move,Furnished,0,0,0,0,0,,,,0,0,8181.818182
1 BHK Flat,,Apartment,Resale,Thane,Balkum village,"Balkum village, Thane",3990000,585,,,2,4,,Ready to Move,Unfurnished,0,0,0,0,0,,,Monthly,0,0,6820.512821
1 BHK Flat,,Apartment,Resale,Thane,Thane West,"Thane West, Thane",5500000,410,,,1,,,Ready to Move,Unfurnished,0,0,0,0,0,,,,0,0,13414.63415
2 BHK Flat,,Apartment,Resale,Thane,Thane West,"Thane West, Thane",3500000,500,,,1,1,,Ready to Move,Unfurnished,0,0,0,0,0,,,,0,0,7000
1 BHK Flat,Dosti West County,Apartment,Resale,Thane,Balkum village,"Balkum village, Thane",5500000,650,,,1,2,,Ready to Move,Furnished,0,0,0,0,0,Dosti Realty,,,0,0,8461.538462
1 BHK Flat,Kulswamini Prasanna Dombivali West,Apartment,Resale,Thane,Shivai Nagar,"Shivai Nagar, Thane",4000000,455,380,Sq-ft,1,,Co-operative Society,Ready to Move,Furnished,0,1,1,1,1,,,,1,0,8791.208791
1 BHK Flat,,Apartment,Resale,Thane,Thane West,"Thane West, Thane",4500000,650,,,1,3,,Ready to Move,Semi-Furnished,0,0,0,0,0,,,,0,0,6923.076923
2 BHK Flat,,Apartment,Resale,Thane,Vrindavan Society,"Vrindavan Society, Thane",10500000,800,745,Sq-ft,2,4,Freehold,Ready to Move,Unfurnished,0,0,0,1,0,,,,0,0,13125
,,Villa,Resale,Mumbai,Thane West,,18000000,1760,,,1,,,Ready to Move,Unfurnished,0,0,0,0,0,,,,0,0,10227.27273
1 BHK Flat,,Builder Floor Apartment,Resale,Thane,Mahagiri Koliwada,"Mahagiri Koliwada, Thane",1800000,220,,,1,4,,Ready to Move,Unfurnished,0,0,0,0,0,,,,0,0,8181.818182
3 BHK Flat,,Apartment,Resale,Thane,Manpada,"Manpada, Thane",18000000,1650,1100,Sq-ft,3,12,,Ready to Move,Unfurnished,0,0,0,0,0,,,,2,1,10909.09091
3 BHK Flat,,Apartment,Resale,Thane,Kolshet Road,"Kolshet Road, Thane",14500000,878,,,3,13,,Ready to Move,Unfurnished,0,0,0,0,0,,,,0,0,16514.80638
1 BHK Flat,,Apartment,Resale,Thane,Anand Nagar Thane West,"Anand Nagar Thane West, Thane",6200000,720,,,1,,,Ready to Move,Furnished,0,0,0,0,0,,,,0,0,8611.111111
1 BHK Flat,Wadhwa Solitaire,Apartment,Resale,Thane,Kolshet Road,"Kolshet Road, Thane",8150000,660,442,Sq-ft,2,12,Freehold,Ready to Move,Unfurnished,0,0,0,0,0,The Wadhwa Group,3354,Monthly,0,0,12348.48485
2 BHK Flat,,Builder Floor Apartment,Resale,Mumbai,Naupada,"Naupada, Mumbai",6500000,450,,,2,3,Leasehold,Ready to Move,Unfurnished,0,1,1,1,1,,,,0,0,14444.44444
1 BHK Flat,,Apartment,Resale,Thane,Thane West,"Thane West, Thane",6800000,423,,,2,1,,Ready to Move,Semi-Furnished,0,0,0,0,0,,,,0,0,16075.65012
2 BHK Flat,,Apartment,Resale,Thane,Kolshet Road,"Kolshet Road, Thane",10000000,560,,,2,3,,Ready to Move,Unfurnished,0,0,0,0,0,,,,0,0,17857.14286
4 BHK Flat,,Apartment,Resale,Thane,Koliwada,"Koliwada, Thane",17000000,1500,1200,Sq-ft,3,8,Co-operative Society,Ready to Move,Semi-Furnished,0,1,1,1,1,,,,1,1,11333.33333
2 BHK Flat,,Apartment,Resale,Thane,Kolshet Road,"Kolshet Road, Thane",10000000,900,,,2,18,,Ready to Move,Unfurnished,1,0,0,0,0,,,,0,0,11111.11111
3 BHK Flat,Cosmos Horizon,Apartment,New Property,Thane,Pokharan Road Number 2,"Pokharan Road Number 2, Thane",17500000,1490,984,Sq-ft,3,7,Freehold,Ready to Move,Unfurnished,1,0,0,0,0,Cosmos Group,6000,Monthly,1,1,11744.96644
1 BHK Flat,Lodha Casa Viva,Apartment,Resale,Thane,Majiwada,"Majiwada, Thane",8200000,499,419,Sq-ft,2,29,,Ready to Move,Unfurnished,1,0,0,0,0,Lodha,,,0,0,16432.86573
3 BHK Flat,Palacia,Apartment,Resale,Thane,Waghbil,"Waghbil, Thane",12000000,1100,870,Sq-ft,2,1,,Ready to Move,Semi-Furnished,1,0,0,0,0,Madhav Shreeji Group,,,0,0,10909.09091
1 BHK Flat,Lahoti House,Apartment,Resale,Thane,Thane West,"Thane West, Thane",9500000,650,500,Sq-ft,2,1,Co-operative Society,Ready to Move,Unfurnished,1,0,0,1,0,S.D.Bhalerao Constructions Pvt. Ltd.,,,0,0,14615.38462
1 BHK Flat,,Apartment,Resale,Thane,Thane West,"Thane West, Thane",5500000,435,,,1,3,,Ready to Move,Semi-Furnished,1,0,0,0,0,,,,0,0,12643.67816
1 BHK Flat,Tata Serein,Apartment,Resale,Thane,Pokharan Road Number 2,"Pokharan Road Number 2, Thane",12000000,470,,,2,17,,Ready to Move,Unfurnished,1,0,0,0,0,TATA Housing Development Company Ltd.,,,0,0,25531.91489
1 BHK Flat,,Builder Floor Apartment,Resale,Thane,Thane West,"Thane West, Thane",3300000,430,,,1,,Freehold,Ready to Move,Semi-Furnished,1,0,0,0,0,,,,0,0,7674.418605
2 BHK Flat,,Apartment,Resale,Thane,Naupada,"Naupada, Thane",13900000,1150,717,Sq-ft,2,2,Freehold,Ready to Move,Semi-Furnished,1,0,0,1,0,,3000,Monthly,0,0,12086.95652
1 BHK Flat,,Apartment,Resale,Thane,Kolshet Road,"Kolshet Road, Thane",8000000,450,,,2,23,,Ready to Move,Semi-Furnished,0,0,0,0,0,,,,0,0,17777.77778
2 BHK Flat,,Apartment,Resale,Thane,Thane West,"Thane West, Thane",9500000,1100,,,2,9,,Ready to Move,Unfurnished,0,0,0,0,0,,,,0,0,8636.363636
1 BHK Flat,Lodha Splendora,Apartment,Resale,Thane,Bhayandarpada,"Bhayandarpada, Thane",9000000,675,450,Sq-ft,2,12,Co-operative Society,Ready to Move,Semi-Furnished,0,0,0,0,0,Lodha,,,0,0,13333.33333
,,Residential House,Resale,Thane,Vartak Nagar,,5200000,250,250,Sq-ft,1,,,Ready to Move,Unfurnished,0,0,0,0,0,,,,0,0,20800
2 BHK Flat,Saket Nagari,Builder Floor Apartment,Resale,Thane,Thane West,"Thane West, Thane",8500000,820,,,2,4,Co-operative Society,Ready to Move,Unfurnished,0,1,1,1,1,Saket Group,,,1,1,10365.85366
2 BHK Flat,,Apartment,Resale,Mumbai,Naupada,"Naupada, Mumbai",7500000,700,550,Sq-ft,1,4,Freehold,Ready to Move,Semi-Furnished,0,1,1,1,1,,800,Monthly,1,0,10714.28571
1 BHK Flat,,Apartment,Resale,Thane,Thane West,"Thane West, Thane",5200000,472,431,Sq-ft,1,7,,Ready to Move,Unfurnished,0,0,0,0,0,,,,0,0,11016.94915
2 BHK Flat,Rustomjee Azziano L Wing,Apartment,Resale,Thane,Majiwada,"Majiwada, Thane",15500000,950,,,2,24,,Ready to Move,Furnished,0,0,0,0,0,Rustomjee,,,0,0,16315.78947
1 BHK Flat,,Apartment,New Property,Thane,Thane West,"Thane West, Thane",5800000,560,,,1,11,Freehold,Ready to Move,Semi-Furnished,0,0,0,0,0,,,,0,0,10357.14286
1 BHK Flat,Buddhadev Vihar,Apartment,Resale,Thane,Manpada,"Manpada, Thane",7700000,725,,,1,1,Freehold,Ready to Move,Semi-Furnished,0,0,0,1,0,,,,0,0,10620.68966
