Property,Project Name,Type of Property,Transaction Type,City,Area Name,Location,Price,Covered Area,Carpet Area,Carpet Area Unit,Bathroom,Floor No,Ownership Type,Possession Status,furnished Type,isPrimeLocationProperty,Gymnasium,Swimming Pool,Security,Club House,Developer,Maintenance Charges,Maintenance Type,Parking Lot Count,Has Covered Parking,Price per sqm
1 BHK Flat,Avanya,Apartment,New Property,Mumbai,Dahisar East,"Dahisar East, Mumbai",7000000,620,398,Sq-ft,1,23,Freehold,Under Construction,Unfurnished,1,1,1,1,1,The Dynamix Group,5,Per sq. Unit Monthly,1,1,11290.32258
2 BHK Flat,Northern Hills,Apartment,New Property,Mumbai,Dahisar East,"Dahisar East, Mumbai",15800000,1150,697,Sq-ft,2,24,Freehold,Under Construction,Semi-Furnished,1,1,1,1,1,N Rose Developers Pvt. Ltd.,10000,Monthly,1,1,13739.13043
2 BHK Flat,Avanya,Apartment,New Property,Mumbai,Dahisar East,"Dahisar East, Mumbai",9850000,950,700,Sq-ft,2,20,Freehold,Under Construction,Unfurnished,1,1,1,1,1,The Dynamix Group,4500,Monthly,1,1,10368.42105
1 BHK Flat,Avanya,Apartment,New Property,Mumbai,Dahisar East,"Dahisar East, Mumbai",6800000,560,398,Sq-ft,2,8,Freehold,Under Construction,Unfurnished,1,1,1,1,1,The Dynamix Group,2000,Monthly,1,1,12142.85714
1 BHK Flat,Falsa Scarlett Homes,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",4999999,475,400,Sq-ft,1,9,Co-operative Society,Ready to Move,Unfurnished,0,1,1,1,1,,1000,Monthly,5,0,10526.31368
1 BHK Flat,,Apartment,Resale,Mumbai,Janta Nagar,"Janta Nagar, Mumbai",1600000,250,180,Sq-ft,1,,,Ready to Move,Furnished,0,0,0,0,0,,,,0,0,6400
3 BHK Flat,Heaven plaza,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",22000000,1570,,,3,16,,Ready to Move,Furnished,0,0,0,0,0,N Rose Developers Pvt. Ltd.,,,0,0,14012.73885
1 BHK Flat,Shree Shashwat,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",9200000,690,,,2,1,,Ready to Move,Semi-Furnished,0,0,0,0,0,AD Pawar Builders,,,0,0,13333.33333
2 BHK Flat,Sheth Midori,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",15000000,1010,,,2,2,,Ready to Move,Semi-Furnished,0,0,0,0,0,Ashwin Sheth Group,,,0,0,14851.48515
1 BHK Flat,Chandak Sparking Wings,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",8100000,650,,,2,11,,Ready to Move,Unfurnished,0,0,0,0,0,Chandak Group,,Monthly,0,0,12461.53846
1 BHK Flat,Sheth Midori,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",9600000,630,450,Sq-ft,2,6,,Ready to Move,Semi-Furnished,0,0,0,0,0,Ashwin Sheth Group,,,0,0,15238.09524
1 BHK Flat,Krishna Tower,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",4800000,400,,,1,7,,Ready to Move,Semi-Furnished,0,0,0,0,0,Jaya Builders,,,1,0,12000
2 BHK Flat,Shalimar Shelter CHSL,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",13500000,800,,,2,10,,Ready to Move,Unfurnished,0,0,0,0,0,Sadguru Group,,,0,0,16875
1 BHK Flat,,Apartment,Resale,Mumbai,Vaishali Nagar Dahisar,"Vaishali Nagar Dahisar, Mumbai",6300000,390,360,Sq-ft,1,,Freehold,Ready to Move,Semi-Furnished,0,0,0,0,0,,,,0,0,16153.84615
3 BHK Flat,NL Aryavarta,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",27000000,981,,,3,2,,Ready to Move,Unfurnished,0,0,0,0,0,Nahalchand Laloochand Pvt. Ltd.,,,0,0,27522.93578
1 BHK Flat,Eminente,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",8900000,381,,,2,19,,Ready to Move,Unfurnished,1,0,0,0,0,A and O Realty,,,0,0,23359.58005
2 BHK Flat,,Apartment,Resale,Mumbai,Anand Nagar,"Anand Nagar, Mumbai",14000000,635,580,Sq-ft,2,,Freehold,Ready to Move,Semi-Furnished,1,0,0,1,0,,0,,0,0,22047.24409
